Subject,Group,RT,Response,Audio,Speaker,Word,Vowel,Tone,Mode,Acc,Location,QuadraticTerm,LinearTerm,DF,Endingpoint,Tvalue_min,Duration,Mean_F0,musicaltraining,Gender,Assign
S07,native,1370.9,Tone 3,normal007_雨-y-Tone_3.mp3,speaker007,雨,y,Tone 3,normal,1,10,0.01361973,-0.279186217,1.053027916,1.517410408,1.054524381,0.489,169.1583913,0,1,1
S07,native,1319.1,Tone 2,normal008_咳-e-Tone_2.mp3,speaker008,咳,e,Tone 2,normal,1,11,0.005364337,-0.085249935,2.007578195,2.088453349,1.826835997,0.22,109.4054698,0,1,0
S07,native,2673.1,Tone 3,normal008_把-a-Tone_3.mp3,speaker008,把,a,Tone 3,normal,1,13,0.005364337,-0.085249935,2.43329074,1.565556282,0.69036396,0.413,90.02629604,0,1,1
S07,native,1872.1,Tone 3,normal013_雨-y-Tone_3.mp3,speaker013,雨,y,Tone 3,normal,1,13,0.005542185,-0.093890355,1.618794626,1.122733613,0.599403318,0.647,107.7348533,0,1,1
S07,native,1278.1,Tone 3,normal013_把-a-Tone_3.mp3,speaker013,把,a,Tone 3,normal,1,9,0.005542185,-0.093890355,1.704885167,0.933965358,0.43685252,0.52,101.7359636,0,1,1
S07,native,1690.6,Tone 2,normal013_咳-e-Tone_2.mp3,speaker013,咳,e,Tone 2,normal,1,6,0.005542185,-0.093890355,1.424242809,2.387636988,0.966743943,0.285,122.8322327,0,1,0
S07,native,1627,Tone 3,normal014_底-i-Tone_3.mp3,speaker014,底,i,Tone 3,normal,1,11,0.008699507,-0.171134143,1.160116574,1.669360335,1.014517047,0.341,103.5268699,0,1,1
S07,native,1285.9,Tone 3,normal013_渴-e-Tone_3.mp3,speaker013,渴,e,Tone 3,normal,1,11,0.005542185,-0.093890355,1.936252039,1.486439111,0,0.483,104.6606188,0,1,1
S07,native,1745.1,Tone 3,normal013_五-u-Tone_3.mp3,speaker013,五,u,Tone 3,normal,1,13,0.005542185,-0.093890355,1.642785728,1.294086803,0.554104814,0.617,106.6616532,0,1,1
S07,native,1283.9,Tone 3,normal011_把-a-Tone_3.mp3,speaker011,把,a,Tone 3,normal,1,12,0.011636851,-0.245867602,1.453327908,2.55183649,0.385491294,0.483,166.132438,0,1,1
