Subject,RT,Response,Audio,Speaker,Word,Vowel,Tone,Mode,Group,Location,QuadraticTerm,LinearTerm,DF,Endingpoint,Tvalue_min,Duration,Mean_F0,Length,HSKlevel,Gender,Assign
S06,2095,Tone 3,loud013_渴-e-Tone_3.mp3,speaker013,渴,e,Tone 3,loud,learner,10,0.005542185,-0.093890355,1.226308935,2.046561301,1.340470357,0.613,149.7475998,6,5,0,1
S06,2676,Tone 3,loud014_五-u-Tone_3.mp3,speaker014,五,u,Tone 3,loud,learner,12,0.008699507,-0.171134143,0.993154872,3.185055144,1.355964088,0.418,130.7033701,6,5,0,1
S06,1902,Tone 3,loud019_雨-y-Tone_3.mp3,speaker019,雨,y,Tone 3,loud,learner,13,0.006571484,-0.064138306,0.328701331,3.924734818,1.943451494,0.549,210.327173,6,5,0,1
S06,1474,Tone 2,loud014_敌-i-Tone_2.mp3,speaker014,敌,i,Tone 2,loud,learner,4,0.008699507,-0.171134143,0.72968865,3.715883058,1.89476886,0.352,160.8722787,6,5,0,0
S06,2906,Tone 2,loud018_鱼-y-Tone_2.mp3,speaker018,鱼,y,Tone 2,loud,learner,3,0.007184905,-0.162558023,1.340354357,2.810688166,0.859895087,0.304,167.1164652,6,5,0,0
S06,1843,Tone 3,loud014_底-i-Tone_3.mp3,speaker014,底,i,Tone 3,loud,learner,12,0.008699507,-0.171134143,1.044420439,3.283318221,1.251122823,0.42,133.8613792,6,5,0,1
S06,1551,Tone 2,loud019_敌-i-Tone_2.mp3,speaker019,敌,i,Tone 2,loud,learner,8,0.006571484,-0.064138306,-0.258017976,4.494627911,2.912968508,0.377,242.5617266,6,5,0,0
S06,1169,Tone 2,loud014_无-u-Tone_2.mp3,speaker014,无,u,Tone 2,loud,learner,3,0.008699507,-0.171134143,0.690284246,4.114659004,1.975353311,0.376,173.0286075,6,5,0,0
S06,1689,Tone 2,loud019_拔-a-Tone_2.mp3,speaker019,拔,a,Tone 2,loud,learner,9,0.007184905,-0.162558023,0.054011728,3.96509524,2.521996126,0.379,223.3991327,6,5,0,0
S06,2541,Tone 2,loud018_咳-e-Tone_2.mp3,speaker018,咳,e,Tone 2,loud,learner,4,0.002780042,-0.026076429,1.226727399,2.391938196,1.292952732,0.214,153.4020388,6,5,0,0
S06,2217,Tone 3,loud013_雨-y-Tone_3.mp3,speaker013,雨,y,Tone 3,loud,learner,12,0.005542185,-0.093890355,0.932347034,2.854971162,1.895510912,0.711,169.5904048,6,5,0,1
S06,1968,Tone 3,loud019_五-u-Tone_3.mp3,speaker019,五,u,Tone 3,loud,learner,13,0.006571484,-0.064138306,0.260663682,2.981223622,2.05587946,0.447,198.0477993,6,5,0,1
S06,1553,Tone 3,loud018_雨-y-Tone_3.mp3,speaker018,雨,y,Tone 3,loud,learner,11,0.007184905,-0.162558023,1.613870786,2.016735226,0.363879112,0.389,111.6676499,6,5,0,1
S06,2832,Tone 2,loud019_鱼-y-Tone_2.mp3,speaker019,鱼,y,Tone 2,loud,learner,13,0.006571484,-0.064138306,-0.302474745,5,2.986430542,0.377,244.1297948,6,5,0,0
S06,1711,Tone 3,loud018_渴-e-Tone_3.mp3,speaker018,渴,e,Tone 3,loud,learner,10,0.007184905,-0.162558023,1.604042166,1.237366861,0.381703096,0.348,108.0393579,6,5,0,1
S06,1237,Tone 2,loud014_咳-e-Tone_2.mp3,speaker014,咳,e,Tone 2,loud,learner,7,0.008699507,-0.171134143,0.512618986,3.816857475,2.338689791,0.275,170.9470218,6,5,0,0
S06,1516,Tone 3,loud014_鱼-y-Tone_2.mp3,speaker014,鱼,y,Tone 2,loud,learner,1,0.008699507,-0.171134143,0.711774008,4.513356549,1.931405414,0.354,171.1028961,6,5,0,1
S06,1561,Tone 3,loud014_渴-e-Tone_3.mp3,speaker014,渴,e,Tone 3,loud,learner,10,0.008699507,-0.171134143,1.095564711,2.86481181,1.146529613,0.396,127.7827571,6,5,0,1
S06,1840,Tone 3,loud018_底-i-Tone_3.mp3,speaker018,底,i,Tone 3,loud,learner,12,0.002780042,-0.026076429,1.793832095,1.681814474,0.264520946,0.413,108.3927483,6,5,0,1
S06,1912,Tone 3,loud019_渴-e-Tone_3.mp3,speaker019,渴,e,Tone 3,loud,learner,10,0.006571484,-0.064138306,0.37115974,3.244496978,1.873291626,0.397,201.8932966,6,5,0,1
S06,1358,Tone 2,loud018_敌-i-Tone_2.mp3,speaker018,敌,i,Tone 2,loud,learner,1,0.002780042,-0.026076429,1.404816672,3.099187381,0.969991787,0.249,150.5019379,6,5,0,0
S06,1692,Tone 3,loud018_把-a-Tone_3.mp3,speaker018,把,a,Tone 3,loud,learner,13,0.002780042,-0.026076429,1.735828955,1.64173803,0.369708355,0.402,110.7363767,6,5,0,1
S06,1443,Tone 2,loud014_拔-a-Tone_2.mp3,speaker014,拔,a,Tone 2,loud,learner,1,0.005542185,-0.093890355,1.064477283,4.96995154,2.003322264,0.29,174.4631028,6,5,0,0
S06,1715,Tone 3,loud018_五-u-Tone_3.mp3,speaker018,五,u,Tone 3,loud,learner,12,0.007184905,-0.162558023,1.628752911,1.797291967,0.336890708,0.424,109.322801,6,5,0,1
S06,1586,Tone 3,loud019_把-a-Tone_3.mp3,speaker019,把,a,Tone 3,loud,learner,11,0.006571484,-0.064138306,0.807004134,2.718223532,1.153085984,0.452,186.2763036,6,5,0,1
S06,4484,Tone 2,loud014_雨-y-Tone_3.mp3,speaker014,雨,y,Tone 3,loud,learner,11,0.008699507,-0.171134143,1.029293523,3.1516,1.282058306,0.472,132.3867671,6,5,0,0
S06,2098,Tone 2,loud024_把-a-Tone_3.mp3,speaker024,把,a,Tone 3,loud,learner,9,0.008099245,-0.057836014,1.857317481,3.030455364,0.757337538,0.499,142.793085,6,5,0,0
S06,3477,Tone 3,loud022_鱼-y-Tone_2.mp3,speaker022,鱼,y,Tone 2,loud,learner,3,0.006429356,-0.051767919,0.649248844,4.475577657,2.866208483,0.509,236.4811078,6,5,0,1
S06,2699,Tone 3,loud024_五-u-Tone_3.mp3,speaker024,五,u,Tone 3,loud,learner,12,0.008099245,-0.057836014,1.155044478,3.178493244,1.532032287,0.541,163.3892665,6,5,0,1
S06,1186,Tone 2,loud023_鱼-y-Tone_2.mp3,speaker023,鱼,y,Tone 2,loud,learner,1,0.017777038,-0.426905758,4.147938187,4.81683772,1.811625579,0.424,147.6951596,6,5,0,0
S06,1495,Tone 2,loud022_拔-a-Tone_2.mp3,speaker022,拔,a,Tone 2,loud,learner,8,0.015819153,-0.369666358,1.186656182,4.439456413,3.131859523,0.512,233.3781614,6,5,0,0
S06,958,Tone 2,loud023_拔-a-Tone_2.mp3,speaker023,拔,a,Tone 2,loud,learner,7,0.006429356,-0.051767919,2.427767704,4.735734031,1.964167486,0.427,141.9002893,6,5,0,0
